"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CaseDeletionCtrl.cls","9","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"2","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CaseDeletionCtrl.cls","31","15","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CaseDeletionCtrl.cls","156","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"4","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CommunityConstantCtrl.cls","7","8","TooManyFields","Too many fields","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#toomanyfields","Design","pmd"
"5","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CommunityPostService.cls","16","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"6","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CommunityPostService.cls","16","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"7","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CommunityPostService.cls","37","17","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"8","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CommunityPostService.cls","37","17","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"9","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CommunityPostService.cls","38","5","EmptyIfStmt","Avoid empty if statements","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_errorprone.html#emptyifstmt","Error Prone","pmd"
"10","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CommunityPostService.cls","38","33","EmptyStatementBlock","Avoid empty block statements.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_errorprone.html#emptystatementblock","Error Prone","pmd"
"11","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_EmailBatch.cls","31","9","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"12","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_EmailBatch.cls","218","10","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"13","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_EmailBatch.cls","244","10","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"14","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_EmailBatch.cls","300","10","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"15","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_EmailBatch.cls","375","9","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"16","1","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_EmailStatusBatchSched.cls","16","33","FieldNamingConventions","The constant field name 'finish' doesn't match '[A-Z][A-Z0-9_]*'","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_codestyle.html#fieldnamingconventions","Code Style","pmd"
"17","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_GoogleCalendarCtrl.cls","68","20","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"18","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_GoogleCalendarCtrl.cls","79","20","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"19","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_InsiteTaskFetcher.cls","13","16","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"20","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_InsiteTaskFetcher.cls","13","16","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"21","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_MessageCenterCtrl.cls","106","2","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"22","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_MessageCenterCtrl.cls","106","2","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"23","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_MessageCenterCtrl.cls","117","17","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"24","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_NotificatinRmdConstantsCtrl.cls","1","8","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"25","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_NotificatinRmdConstantsCtrl.cls","1","8","TooManyFields","Too many fields","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#toomanyfields","Design","pmd"
"26","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_NotificationSender.cls","14","16","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"27","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_NotificationSender.cls","20","4","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"28","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_NotificationSender.cls","20","4","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"29","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_NotificationSender.cls","21","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"30","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_NotificationSender.cls","21","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"31","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_NotificationSender.cls","22","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"32","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_NotificationSender.cls","22","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"33","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_OutlookReminderCalendarCtrl.cls","71","20","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"34","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_OutlookReminderCalendarCtrl.cls","81","20","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"35","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_PatientCasesFilesCtrl.cls","16","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"36","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_PatientCasesFilesCtrl.cls","29","16","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"37","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_PatientPrescriptionCtrl.cls","19","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"38","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_PatientPrescriptionCtrl.cls","41","16","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"39","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_PatientPrescriptionCtrl.cls","77","16","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"40","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_PatientPrescriptionCtrl.cls","124","9","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"41","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_PatientPrescriptionCtrl.cls","126","9","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"42","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_PatientPrescriptionCtrl.cls","128","9","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"43","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_PatientPrescriptionCtrl.cls","130","9","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
